Match Number,Round Number,Date,Location,HomeTeam,AwayTeam,Result
1,1,18/09/2020 19:00,Estádio Municipal 22 de Junho,FC Famalicão,SL Benfica,1 - 5
2,1,18/09/2020 21:15,Estádio D. Afonso Henriques,Vitória SC,Belenenses SAD,0 - 1
3,1,19/09/2020 16:00,Estádio da Madeira,CD Nacional,Boavista FC,3 - 3
5,1,19/09/2020 21:00,Estádio do Dragão,FC Porto,SC Braga,3 - 1
6,1,20/09/2020 15:00,Estádio de São Miguel,Santa Clara,Marítimo M.,2 - 0
7,1,20/09/2020 18:30,Estádio Comendador Joaquim de Almeida Freitas,Moreirense FC,SC Farense,2 - 0
8,1,20/09/2020 21:00,Estádio João Cardoso,CD Tondela,Rio Ave FC,1 - 1
9,1,21/09/2020 19:45,Estádio Municipal de Portimão,Portimonense,FC P.Ferreira,1 - 1
10,2,25/09/2020 20:30,Estádio Municipal de Braga,SC Braga,Santa Clara,0 - 1
11,2,26/09/2020 15:30,Estádio do Marítimo,Marítimo M.,CD Tondela,2 - 1
12,2,26/09/2020 18:30,Estádio da Luz,SL Benfica,Moreirense FC,2 - 0
13,2,26/09/2020 21:00,Estádio do Bessa,Boavista FC,FC Porto,0 - 5
14,2,27/09/2020 15:30,Estádio de São Luís,SC Farense,CD Nacional,0 - 1
15,2,27/09/2020 16:00,Estádio Cidade de Barcelos,Gil Vicente FC,Portimonense,1 - 0
16,2,27/09/2020 18:30,Estádio Capital do Móvel,FC P.Ferreira,Sporting CP,0 - 2
17,2,27/09/2020 21:00,Estádio dos Arcos,Rio Ave FC,Vitória SC,0 - 0
18,2,28/09/2020 19:45,Estádio Nacional,Belenenses SAD,FC Famalicão,1 - 2
19,3,02/10/2020 19:00,Estádio Comendador Joaquim de Almeida Freitas,Moreirense FC,Boavista FC,1 - 1
20,3,02/10/2020 21:15,Estádio D. Afonso Henriques,Vitória SC,FC P.Ferreira,1 - 0
21,3,03/10/2020 15:00,Estádio de São Miguel,Santa Clara,Gil Vicente FC,0 - 0
22,3,03/10/2020 18:30,Estádio do Dragão,FC Porto,Marítimo M.,2 - 3
23,3,03/10/2020 21:00,Estádio João Cardoso,CD Tondela,SC Braga,0 - 4
